Date,Time,Latitude,Logitude,Earthquake Depth in KM,Magnitude,Magnitude Type,Gap,Place,Type
2018/11/27,2018/11/27T14:34:20.900Z,48.378,154.962,35,4.9,mb,92,"269km SSW of Severo/Kuril'sk, Russia",earthquake
2018/11/26,2018/11/26T23:33:50.630Z,36.0733,139.783,48.82,4.8,mww,113,"3km SSW of Sakai, Japan",earthquake
2018/11/26,2018/11/26T13:04:02.250Z,38.8576,141.8384,50.56,4.5,mb,145,"26km SSE of Ofunato, Japan",earthquake
2018/11/26,2018/11/26T05:20:16.440Z,50.0727,156.142,66.34,4.6,mb,128,"67km S of Severo/Kuril'sk, Russia",earthquake
2018/11/25,2018/11/25T09:19:05.010Z,33.95,134.4942,38.19,4.6,mb,104,"9km SW of Komatsushima, Japan",earthquake
2018/11/25,2018/11/25T03:16:46.320Z,48.4158,155.0325,35,4.6,mb,85,"263km SSW of Severo/Kuril'sk, Russia",earthquake
2018/11/23,2018/11/23T14:30:14.510Z,37.1821,141.1721,46.76,5.2,mb,140,"29km ENE of Iwaki, Japan",earthquake
2018/11/23,2018/11/23T07:19:51.110Z,29.3424,142.3121,10,4.7,mb,130,"250km N of Chichi/shima, Japan",earthquake
2018/11/20,2018/11/20T20:16:02.790Z,44.4524,148.0753,101.46,4.7,mww,85,"88km S of Kuril'sk, Russia",earthquake
2018/11/20,2018/11/20T19:09:48.760Z,30.4087,130.0687,123,5.5,mww,30,"96km WSW of Nishinoomote, Japan",earthquake
2018/11/20,2018/11/20T15:38:31.270Z,42.0009,142.7654,73.55,4.5,mb,114,"49km SE of Shizunai, Japan",earthquake
2018/11/18,2018/11/18T23:02:08.410Z,24.1937,125.2046,30.25,4.5,mwr,76,"67km S of Hirara, Japan",earthquake
2018/11/18,2018/11/18T01:51:22.160Z,30.7822,141.9762,10,4.8,mb,124,"Izu Islands, Japan region",earthquake
2018/11/17,2018/11/17T07:40:05.930Z,25.3931,141.0321,115.25,4.8,mb,108,"74km NNW of Iwo Jima, Japan",earthquake
2018/11/16,2018/11/16T12:09:51.380Z,26.3407,143.8582,36.24,4.8,mb,139,"182km ESE of Chichi/shima, Japan",earthquake
2018/11/16,2018/11/16T02:49:12.760Z,39.6014,141.937,49.23,4.5,mb,137,"4km SSW of Miyako, Japan",earthquake
2018/11/14,2018/11/14T10:07:30.980Z,42.6765,141.9846,35,4.8,mb,75,"31km E of Tomakomai, Japan",earthquake
2018/11/14,2018/11/14T04:09:41.120Z,34.7663,139.9805,105.5,5,mb,97,"26km SSE of Tateyama, Japan",earthquake
2018/11/13,2018/11/13T21:09:33.230Z,45.2679,150.481,54.13,4.8,mb,129,"203km E of Kuril'sk, Russia",earthquake
2018/11/12,2018/11/12T01:44:52.130Z,42.9554,139.2679,8.66,4.5,mb,94,"101km W of Iwanai, Japan",earthquake
